API Name,Provider Name,Logo,Web2 Docs,Airnode Docs,Contact,Description,About Provider,Category/Industry,Tags
INFRD Insurance API,Artivatic.ai,Artivatic.svg,,,mailto:apisupport@artivatic.ai,"Artivatic’s AI- Native SaaS Solutions for insurance & health services as modular building blocks powered by best-in-class API gateway helps in driving innovation & collaboration with intuitive workflows, seamless integration, data driven decisions, individual level risk assessment, new age product offerings, dynamic pricing, automation, smart underwriting, smart claims processing, enhanced customer experience, persistence & collections, distributions with AI, ML & Data.",,Insurance,"KYC, identification, insurance, "
Asteria API,Asteria,Asteria.svg,N/A,,https://asteria.finance/,"The Asteria Option Pricing API enables investors to get option pricing and quantity quotations and execute in real time
without slippages.",,Finance & Banking,"exchange data, capital markets, options"
Identity Authentication API,Authenticating.com,Authenticating.com.svg,https://docs.authenticating.com/,,https://authenticating.com/,"Use the Authenticating APIs, mobile SDK or the hosted, embeddable UI for worldwide identity authentication, KYC & AML compliance.

Instantly authenticate 6,000+ government-issued IDs and passports from 200 countries in 38 languages using instant forensic fraud & forgery analysis and data extraction through computer vision with facial recognition, liveness detection and a 24/7/365 fallback method of AI assisted expert manual review for a definitive pass or fail in under 2 minutes when an ID or passport is too damaged, dirty, worn or torn to be read by OCR.

Authoritative database level identity verification available in 33 countries.

Instantly perform 60+ anti-money laundering and global watch list checks for free.",,Biotechnology,"identity verification, IDV, AML, verification, government, banking, finance, AQI"
The Authoritas SERP API,Authoritas,Authoritas.svg,https://www.authoritas.com/api-documentation/,,https://www.authoritas.com/contact/,The Authoritas Keyword Ranking API allows you to make multiple simultaneous keyword requests to any major search engine worldwide. ,,Communications,"social media, SERP, statistics"
,Azuro,,N/A,,mailto:mkt@azuro.org,"Global Decentralized Betting Protocol - Classic betting experience for multiple front-ends via vivid liquidity pools, odds imported via oracles & NFTs powering secondary markets",,Entertainment,"sports, gambling, betting"
Base64.ai API,Base64.ai,Base64.ai.svg,https://documenter.getpostman.com/view/10132588/SWT5hfdz#intro,https://gist.github.com/oebilgen/c32cc89a6974fcd98900e1848c6c40b5,https://base64.ai/,"Base64.ai API is used to extract text, photos, and signatures from all document types by using a scalable cloud solution that is flexible to work with any document type.",,Finance & Banking,"KYC/AML, text extraction, fraud prevention"
Benchmark API,Benchmark Labs,Benchmark(traced).svg,https://www.postman.com/interstellar-space-145387/workspace/interstellar-space-145387-s-public-workspace/documentation/11840257-94926274-5a40-42f3-8091-6e7d6d1bb3b7,,https://www.benchmarklabs.com/home,"Uses in-situ weather and environmental data to predict environmental conditions with greater accuracy for agriculture, energy, and insurance applications.",,Environmental,"forecast, agriculture, energy, insurance, farming"
Benzinga Market News API,Benzinga,Benzinga.svg,https://docs.benzinga.io/,,https://www.benzinga.com/apis/,The Benzinga API delivers actionable alternative data news to users.,,Media,"news, findata, sentiment, alternative data"
Bird API,Bird,Bird.svg,https://docs.bird.money/,,https://bird.money/,Bird.money offers plug and play analytics products for web 3.0 platforms.,,Finance & Banking,"crypto, analytics"
BitcoinAverage Price API,BitcoinAverage,BitCoinAverage.svg,https://apiv2.bitcoinaverage.com/,,https://bitcoinaverage.com/,"BitcoinAverage APIs can be used to gather real-time, OHLC, volume and historical price data for the following Cryptocurrencies: Bitcoin (BTC), Bitcoin Cash (BCH), Litecoin (LTC), Ethereum (ETH), Dash (DASH), Ripple (XRP), Monero (XMR) plus many more.",,Finance & Banking,"crypto, exchange data, OHLC"
BitcombineAPI,BitCombine,BitCombine.svg,https://api.bitcombine.io/swagger-ui-master/dist/index.html,https://gist.github.com/bitcombine/98a6ad6b11b81b5055fad4496db2821d,https://www.bitcombine.io/contact.php,"The Bitcombine API is the industry leading API for crypto trading, real-time & historical data collection, and exchange account management. Get orderbooks and ticker data, execute trades, make withdrawals, and check your balances across their growing list of 40 cryptocurrency exchanges.",,Finance & Banking,"crypto, exchange data, pricing, exchange trading, crypto data, account management"
BitMartAPI,BitMart,BitMart.svg,https://developer-pro.bitmart.com/en/,,https://support.bmx.fund//hc/en-us,"The Bitmart API gives access to up-to-date crypto market quotations and spot/contract trading. Developers can choose their own way to query the market, trade or withdraw according to their usage scenarios and preferences.",,Finance & Banking,"crypto, exchange data, trading"
Blackout Games API,Blackout Games,Blackout.svg,https://rugbyapi.docs.apiary.io/#,https://gitlab.com/blackout-games-public/airnode-api/-/blob/main/README.md,https://blackout.games/contact,"The Blackout Games API provides game information such as team data, player data, and fixture data to 3rd party software applications. Developers can also update and manipulate game data via the API.",,Entertainment,"gaming, sports, statistics"
Bleumi Payments API,Bleumi,Bleumi.svg,https://api.bleumi.io/docs/,,https://bleumi.com/contact.html,"The Bleumi Payments API integrates Traditional (Credit/Debit Card, Alternative Payment Methods) and Crypto Currency (Bitcoin, Ethereum, Stablecoins) payments into your business or application.",,Finance & Banking,"payments, crypto, institutional banking"
Blocknative API,Blocknative,Blocknative.svg,https://docs.blocknative.com/gas-platform,,https://www.blocknative.com/contact-us,"Blocknative is the leading global mempool data platform — supporting Ethereum, Polygon, Binance Smart Chain, xDai, and Bitcoin. Blocknative's Gas Platform helps builder and traders on Ethereum to accurately set transaction fee",,Finance & Banking,"crypto, exchange data, Gas, ETH Gas"
Cryptotax API,Blockpit,Blockpit.svg,N/A,,https://help.blockpit.io/hc/en-us/categories/360002570794-API-keys-Depots,"Blockpit cryptotax API lets you track your crypto portfolio and file taxes in one place. After a one-time setup, you'll see all your transactions in a clearly arranged dashboard.",,Finance & Banking,"taxes, portfolio management, crypto"
Email Verification API,Bouncer,Bouncer.svg,https://docs.usebouncer.com/,,https://www.usebouncer.com/,"Bouncer Email Verification API allows you to validate email address and verify its deliverability in real-time. Identify typos at the moment of capture, reduce the bounce rates and improve & protect your deliverability. Reliable, fast and precise",,Communications,"email validation, email,"
SMS Gateway API,BulkSMS.com,Bulksms.com.svg,https://www.bulksms.com/developer/json/v1/#,,https://www.bulksms.com/contact/,"BulkSMS API allows you to easily SMS-enable your website, application, or customer relationship management platform. Our API supports Unicode and long messages, and allows for multiple web hooks to create and customise any workflow.",,Communications,"text, CRM, messaging"
Address Verification API,Byteplant,Byteplant.svg,https://www.address-validator.net/api.html - https://www.email-validator.net/api.html - https://www.phone-validator.net/api.html,,https://www.address-validator.net/contact.html,Byteplant's postal Address Verification service allows you to validate and correct postal addresses from 240 countries world-wide. ,,Communications,"address validation, verification, spam"
Phone Verification API,Byteplant,Byteplant.svg,https://www.phone-validator.net/api.html,,https://www.phone-validator.net/faq.html,With Byteplant's Real-Time Phone Number Validation API you can easily clean up existing contact data or verify if phone numbers are valid and callable. Theservice also detects the correct line type to ensure full compliance with the FCC Telephone Consumer Protection Act (TCPA).,,Communications,"phone validation, verification, spam"
Email Verification API,Byteplant,Byteplant.svg,https://www.email-validator.net/api.html,,https://www.email-validator.net/faq.html,Byteplant's email validation API will improve your sender reputation and delivery rates and reduce bounce rates at the same time.,,Communications,"email validation, verification, spam"
CAPTCHAs API,CAPTCHAs,CAPTCHAs.svg,https://api.captchas.io/document/,,https://captchas.io/support/,CAPTCHAs.IO  API is the most stable and fastest captcha solving API web service provider.,,Communications,"spam, verification"
Catallact API,Catallact,Catallact.svg,N/A,,https://www.catallact.com/,"The Catallact API delivers On-chain analytics, Exchange data, Derivative metrics, DeFi tracking, and Original research",,Finance & Banking,"crypto, exchange data, defi"
Celitech Bee API,Celitech,Celitech.svg,https://documenter.getpostman.com/view/6644894/TVYC8zEQ#intro,,https://celitech.com/contact/,"Celitech wireless eSIM API enables your travel-related business to offer cellular data eSIMs and better engage with customers anywhere in the world. The proprietary eSIM API provides wireless data service that can be shared digitally (e.g. using QR codes) and programmed by location, time, size, speed, etc.",,Communications,"eSIM, wireless, mobile, travel"
ChainEX API,ChainEX,ChainEX.svg,https://chainex.io/api,,https://support.chainex.io/,ChainEX API allows you to trade over 30 crypto market pairs with multiple order types and makes full use of the site functionality,,Finance & Banking,"crypto, exchange data, pricing"
Blockchain API,Chaingateway.io,Chaingateway.io.svg,https://chaingateway.io/,,Support: We are happy to help! - Chaingateway.io,"Chaingateway.io API allows you automate interacting with the Ethereum, Binance Smart Chain and Tron blockchain. So, instead of using a wallet to manually send coins to many addresses, you can automate this process by using this solution. You can also use Chaingateway.io to securely store and manage ethereum funds of your users.",,Finance & Banking,"fintech, crypto, payment"
Cignals.io API,Cignals.io,Cignals.io.svg,https://docs.cignals.io/#introduction,https://gist.github.com/camronh/df819747f434d642cdf67487370e5500,https://cignals.io/,"The Cignals API can be used to access various endpoints, which can be helpful for developing automated, quantitative trading strategies. Because Cignals primarily focuses on volumetric and order flow based trading tools (e.g. Volume Clustering/Footprint Charts, Advanced Volume Profile, etc), derived from market auction theory, their API reflects a similar approach.",,Finance & Banking,"crypto, trading, bankathon"
CityFALCON Financial News API,CityFALCON,CityFALCON.svg,https://www.cityfalcon.com/products/api/financial-news,,https://www.cityfalcon.com/products/api/financial-news#contactus-form,"CityFALCON's Financial News API enables you to get up to 10,000 stories per API call for stocks, cryptocurrencies, commodities, private companies, foreign exchange, indices, people and more by name. ",,Media,"news, sentiment, finance, alternative data"
ClimateAPI,ClimateKuul,ClimateKuul.svg,http://api.climatekuul.com/docs/,,https://www.climatekuul.com/contact,"ClimateAPI estimates carbon emissions of a particular transaction, can display the estimated emissions data to your customers, along with options to do something about it, and upon user confirmation, allocates the required number of emission offsets from a pool of vetted projects they've partnered with.",,Environmental,"emissions, climate, travel, environmental"
CloudSight API,CloudSight,CloudSight.svg,https://cloudsight.docs.apiary.io/#,,https://cloudsight.ai/contact,The CloudSight API is a simple REST API for understanding your images. Send an image and their AI solution instantly describes your images with human-like captions. Apply computer vision right out of the box to provide detailed and fine-grained object recognition will return a description of its contents.,,Biotechnology,"object recognition, AI, "
CoinMarketCal API,CoinMarketCal,CoinMarketCal.svg,https://coinmarketcal.com/en/doc/redoc,,https://coinmarketcal.com/en/,"CoinMarketCal API provides access to crypto events data. The database features more than 6500 coins and 20000 events. Power your applications with accurate data, backtest your trading and investing strategies or build your own models using their comprehensive and trusted data.",,Finance & Banking,"events, crypto"
Coinpass API,coinpass.com,coinpass.com.svg,N/A,,https://www.coinpass.com/en/contact,"Coinpass API provides you ""Exchange-as-a-Service"" tools enabling access to Onboarding, KYC and Trading all-in-one. You are able to choose from Bitcoin, Ethereum and other crypto-assets. Deposit and trade crypto.",,Finance & Banking,"crypto, capital markets"
Coinranking API,Coinranking,Coinranking.svg,https://developers.coinranking.com/api/documentation,,https://support.coinranking.com/article/50-how-to-contact-us,"Coinranking API enables access to accurate prices and trading volumes of tens of thousands of markets, coming from hundreds of exchanges including volume-weighted average prices of thousands of cryptocurrencies, as well as total and maximum supplies of every cryptocurrency they’ve listed.",,Finance & Banking,"crypto, exchange data, trade volume"
Coqonut API,Coqonut,Coqonut.svg,https://api.coqonut.io/swagger-ui.html,,https://www.coqonut.io/,"Coqonut API allows you to automatically import your trades, get your capital gains and revenues in a full detail report",,Finance & Banking,"crypto, tax, exchange data"
Countrylayer API,Countrylayer,Countrylayer.png,https://countrylayer.com/documentation/,,https://countrylayer.com/contact/,Get instant access to accurate country data for various geo-points in the world and enjoy a rich set of capabilities:,,Geolocation Data,"geographical position, population, codes, currencies, languages, flag images"
Credmark API,Credmark,Credmark.svg,https://www.credmark.com/whitepaper,,https://www.credmark.com/,"The Credmark API aims to provide high integrity data and risk metrics through a transparent, community-driven platform.",,Insurance,"risk assesment, security, NFT"
Cryptocurrency News and Social Media indices API,CryptoReview,CryptoReview.svg,https://rapidapi.com/cryptoreviewapi/api/cryptocurrency-news-and-social-media-indices,,https://www.cryptoreview.ai/,Cryptocurrency News and Social Media indices API Provides news and social media quant signals including sentiment for cryptocurrency assets,,Finance & Banking,"crypto, sentiment"
Paradigm API,Cryptosheets,Cryptosheets.svg,https://docs.paradigmapi.com/resources/documentation.html,,https://docs.paradigmapi.com/resources/help-center.html,"Paradigm is a multidimensional crypto data API. Our unified platform provides single endpoint access to datasets, curated content and visual analytics all at the same time. We harmonize the data so you don’t have to. Search, test, download and build for free.",,Finance & Banking,"crypto, trading, exchange data, defi, conversions, marketpairs"
CSRHub API,CSRHub,CSRHub.svg,N/A,,https://www.csrhub.com/contact-csrhub-now,"CSRHub’s API allows you to recieve Consenseus ESG (Environmental, Social, and Governance) ratings. In addition, you can also review a company’s CSR (Corporate Social Responsibility) performance and compare it to the performance of the company’s peers and competitors, create investment strategies that incorporate measures of environmental social and governance value, and manage/improve corporate supply chains by scanning their supply chains without having to engage in costly surveys or on-site audits.",,Environmental,"emissions, events, pricing, CSR, ESG"
CurrencyFreaks API,CurrencyFreaks,CurrencyFreaks.svg,https://currencyfreaks.com/documentation.html,,https://currencyfreaks.com/contact.html,"CurrencyFreaks API provides currency conversion of over 200 pairs, current and historical forex exchange rate and currency fluctuation data.",,Finance & Banking,"exchange rates, forex, crypto"
CustomWeather API,CustomWeather,CustomWeather.svg,https://clients.customweather.com/APIDOCS/#documentation,,https://clients.customweather.com/E-Commerce/#/support,"The CustomWeather API is a consistent source of reliable weather s and data for millions of locations worldwide, available in over 80 languages. Key features include: the ability to search by location name, latitude/longitude coordinate, postal codes and ID, locations are geocoded with latitude, longitude, time zone, state, province, and country information, the ability to refine s down to 100 meter resolution worldwide, and the capabilities to request data in multiple languages.",,Environmental,"weather, geolocation, weather events, climate"
Sports Data API,Data Sports Group,Data%20Sports%20Group.svg,https://dsg-api.com/,,https://datasportsgroup.com/contact/,"Sports Data API allows you access to live sporting event scores and relevant data for 30+ sports including soccer, football, basketball, and even Esports.",,Entertainment,"sports, score, esports"
Deribit API,Deribit,Deribit.svg,https://docs.deribit.com/,,https://www.deribit.com/pages/information/about-us,"Deribit API allows you to trade Deribit tradeable assets or instruments including options, perp contracts, and futures all-in-one.",,Finance & Banking,"crypto, exchange data, trading"
Diversifi API,Diversifi,Diversifi.svg,https://docs.deversifi.com/,,https://www.deversifi.com/,"The DeversiFi API allows automated high-speed trading of cryptocurrencies and tokens, including Ethereum and Bitcoin, using funds held in a secure personal wallet or smart-contract.",,Finance & Banking,"crypto, trading, exchange data"
DxFeed API,DxFeed,dxFeed.svg,https://docs.dxfeed.com/dxfeed/api/index.html?_ga=2.177660454.2084198113.1632746562-84610022.1630423144,https://gist.github.com/camronh/f4439dad5de9eafad7b1ea75e5ac6656,https://dxfeed.com/contact-us/,"DxFeed API offers a portfolio of versatile analytical services, custom solutions, cloud services, data management and index management solutions including: Historical Tick Data, Reference data, etc for stocks, crypto, forex and more.",,Finance & Banking,"exchange data, capital markets, crypto, forex, bankathon"
MORE Email Validation API,Email Hippo,Email%20Hippo.svg,https://docs.emailhippo.com/#more-edition-2-v3,,https://www.emailhippo.com/contact,"MORE checks email addresses in real-time, returning results from seventy four data points, forming the unique Email Hippo Trust Score. It’s used in many ways, for example, filtering online sign-ups, cleaning CRM systems and adding value to data.
Features also include: Spam trap detection, disposable email address detection, proprietary scoring and risk assessment, block lists, dark web associations and more.",,Communications,"email, spam, verification, risk assesment, email validation"
EOD Historical Data All-in-one API,EOD Historical Data,EOD%20Historical%20Data.svg,https://eodhistoricaldata.com/financial-apis/api-for-historical-data-and-volumes/?gclid=Cj0KCQjws4aKBhDPARIsAIWH0JXVU5HOPfzPYBg_4KiJ_3FDP0sUFJ-2RabNMjSNqx9RcaAKHoX7xpMaAlb1EALw_wcB,,https://eodhistoricaldata.com/,"EOD Historical Data's All-in-One API provides access to 760 million financial data points on 250+ currency pairs including: EOD Data - All World Extended, Fundamental Data, Bonds Data, Options Data, Splits and Dividends.",,Finance & Banking,"exchange data, capital markets, trade volume"
ESG API,ESG Enterprise Software,ESG%20Enterprise%20Software.svg,https://www.esgenterprise.com/docs/api-reference/,,https://www.esgenterprise.com/contact-esg-enterprise/,"ESG API is designed for organizations with a need to integrate ESG data into their internal systems or websites. ESG Enterprise uses industry best practices to harvest, process, and normalize public and private data into comprehensive ESG ratings and metrics. Access over 40000 companies ESG risk analytics data world wide",,Environmental,"emissions, events, pricing, ESG, ratings"
Financial Product Search API,Even Financial,Even%20Financial.svg,https://evenfinancial.com/docs/api-reference/,,https://evenfinancial.com/about/contact,"The Even Financial API allows users to build a user experience for financial service search, comparison and recommendation that is both performant and compliant, integrate with and programmatically manage your Even Financial account, and stream analytics data into your system in near real-time. Even’s multi product search provides an embeddable search, comparison, and recommendation flow—with programmatic compliance and security.",,Finance & Banking,"lending, insurance, fintech"
Ex Machina Weather API,Ex Machina,Ex%20Machina.svg,N/A,,https://exm.gr/contact/,"Ex Machina API returns weather data, weather ing, and wind farm output ing",,Environmental,"weather events, weather, wind"
Currency Conversion API,ExchangeRate-API,Exchange%20Rates%20API.svg,https://www.exchangerate-api.com/docs/overview,,https://www.exchangerate-api.com/#support,The Currency Conversion API enables you to access currency conversion rates on all 160 major currencies used in 200 countries including data going all the way back to 1990 for some currency pairs..,,Finance & Banking,"exchange rates, currency"
Finage API,Finage,Finage.svg,https://finage.co.uk/docs/api/getting-started,https://gist.github.com/camronh/a3b40c696822b1aa833f5a2cf7e5e7db,https://finage.co.uk/consultation,"Finage API offers stock, crypto, and forex endpoints",,Finance & Banking,"crypto, capital markets, forex, bankathon"
Finnhub All-In-One Stock API,Finnhub,Finnhub.svg,https://finnhub.io/docs/api/introduction,,https://finnhub.io/,"Finnhub's All-in-one stock API gives access to real-time stock data, institutional-grade fundamental and alternative data including US market data, International market data, ETFs and Indices, Mutual Funds, and economic data.",,Finance & Banking,"capital markets, ETFs, pricing"
Frankfurter API,Frankfurter,Frankfurter.svg,https://www.frankfurter.app/docs/,,https://www.frankfurter.app/,The Frankfurter API tracks foreign exchange references rates published by the European Central Bank. The data refreshes around 16:00 CET every working day.,,Finance & Banking,"exchange rates, currency"
FTX API,FTX,FTX.svg,https://docs.ftx.com/#overview,,https://help.ftx.com/hc/en-us/articles/360028737592-How-to-contact-us,"FTX API gives users full trading and asset management functionality, with public orderbook, trading data",,Finance & Banking,"crypto, exchange data, trading"
GameScorekeeper API,GameScorekeeper,GameScorekeeper.svg,https://docs.gamescorekeeper.com/,,https://gamescorekeeper.com/,"The GameScorekeeper API provide Esports data including tournaments/leagues, matches, teams, players, odds and more",,Entertainment,"sports, esports, gaming"
Geoapify API,Geoapify,Geoapify.svg,https://apidocs.geoapify.com/#docs,,https://www.geoapify.com/,"Geoapify platform offers Maps API, auxiliary APIs, and data services to maximally simplify and streamline the development of modern maps and geospatial analytics applications.",,Geolocation Data,"maps, geolocation, IP geolocation, geocoding, logistics, routing, transportation"
GeoDB Cities API,GeoDB,GeoDB.svg,http://geodb-cities-api.wirefreethought.com/,,http://geodb-cities-api.wirefreethought.com/support,"GeoDB Cities API gives access to a database of over 500,000 towns, cities, and counties. Filter cities by name prefix, countries, location, time-zone, and minimum population. Also included is the ability to filter all country regions, states, and provinces.",,Geolocation Data,"maps, geolocation"
Market Data API,Global Datafeeds,Global%20Datafeeds.svg,https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/rest-api-documentation/how-to-connect-using-rest-api/,,https://globaldatafeeds.in/support-center/,"Global Datafeeds Market Data API enables you access to NSE Equity, Futures & Options, Currency and MCX Data. APIs are available for realtime streaming, delayed streaming, realtime snapshot and EOD data",,Finance & Banking,"exchange data, currency, capital markets"
Goldbaum Financial Data API,Goldbaum,Goldbaum.svg,N/A,,https://golden.goldbaum.app/,"Goldbaum APIs analyze market, product, fund, macro and alternative data",,Finance & Banking,capital markets
Graviton API,Graviton,Graviton.svg,https://docs.graviton.lu/,,https://graviton.lu/,The Graviton API provides financial data on US listed securities,,Finance & Banking,"capital markets, exchange data, securities"
Paraphrasing Tool API,Healthy Tech,Healthy%20Tech%20Guy.svg,https://rapidapi.com/healthytechguy/api/paraphrasing-tool1,https://gist.github.com/HealthyTechGuy/44d354e9e9dfddb77f97a0e2e1f5444e,https://rob-oconnor.com/contact,"The Paraphrasing tool API has the ability to rewrite sentances, paragraphs and even whole articles (With multiple API calls).",,Other,"paraphrasing, writing"
Hoeg&Co Ratings and Investment API,Hoeg & Co,Hoeg%20&%20Co.svg,N/A,,https://www.hoegco.org/contact-us,Hoeg & Co API enables users benchmark and ratings and investment data on US banks and credit unions,,Finance & Banking,"finance, ratings"
IDEX API,IDEX,IDEX.svg,https://docs.idex.io/#introduction,,https://idex.io/,IDEX’s standardized API makes it easy to integrate your existing trading software via a familiar interface with millisecond latency,,Finance & Banking,"crypto, trading, exchange data"
Index One API,Index One,Index%20One.svg,N/A,,https://indexone.io/,"Index One API provides scalable index calculation, design and distribution solutions for index users globally",,Finance & Banking,"indices, capital markets"
aplonAPI,Infosistema,,,,https://www.infosistema.com/contacts/,"APIs for open banking, data migration, document management, GDPR compliance, Document digitizer and OCR,  ",,Finance & Banking,"automation, compliance, open banking, image processing, OCR"
Interzoid APIs,Interzoid,Interzoid.svg,https://gist.github.com/interzoid/f05e63df824a772565d5b389204defc3,https://gist.github.com/interzoid/f05e63df824a772565d5b389204defc3,https://interzoid.com/,"Multiple APIs providing financial data, data matching, data validation, weather, demographics, global performance, and more.",,Other,"data validation, weather, data matching, currency rate converter, bankathon"
Intrinio API,Intrinio,Intrinio.svg,https://intrinio.com/docs/market-data/getting-started#stq=&stp=1,,https://intrinio.com/help-center,"Tap into our vast network of real-time, delayed, intraday, and historical prices, options, and more for US securities",,Finance & Banking,"real-time prices, historical prices, indicators"
IP Geolocation API,IP Geolocation,IP%20Geolocation.svg,https://ipgeolocation.io/documentation.html,,https://ipgeolocation.io/,IP Geolocation API provides location information for any IPv4/IPv6 address or domain name.,,Geolocation Data,"IP, geolocation"
Timezone API,IP Geolocation,IP%20Geolocation.svg,https://ipgeolocation.io/documentation.html,,https://ipgeolocation.io/,"Timezone API provides date, time and timezone information from timezone name, IP address or location coordinates (latitude and longitude)",,Geolocation Data,"timezone, ip address, time"
Astronomy API,IP Geolocation,IP%20Geolocation.svg,https://ipgeolocation.io/documentation.html,,https://ipgeolocation.io/,"The Astronomy API provides sun rise time, sun set time, moon rise time and moon set time including current position, angle, and distance of the Sun and the Moon for a given date.",,Geolocation Data,"astronomy, sunrise, sunset, moon, position, angle, distance"
IPQS Fraud Prevention API,IPQualityScore,IPQualityScore.svg,https://www.ipqualityscore.com/documentation/overview,,https://www.ipqualityscore.com/contact-us,"IPQS Fraud Prevention API enable bot detection and user screening to prevent fake accounts, chargebacks, & malicious users without interrupting the user experience.",,Finance & Banking,"fraud prevention, payments"
Reference Data API,Kaiko,Kaiko.svg,https://docs.kaiko.com/#reference-data-api,,https://www.kaiko.com/pages/contact-kaiko,Kaiko's Reference Data API provides live and historical institutional quality market data for digital assets.,,Finance & Banking,"crypto, exchange data"
Litentry API,Litentry,Litentry.svg,https://docs.litentry.com/,,https://www.litentry.com/,Litentry API enables users to aggregate identities from other chains and features an identity matching and identity staking mechanism.,,Finance & Banking,"crypto, identity"
Logware Data Storage API,Logware,Logware.svg,https://docs.getlynx.io/,,https://logware.io/#contact,"Logware is a standards-based, easy-to-use public API that any software developer can use. The Logware API is the gateway or middleware that a software developer uses to store data permanently on a public blockchain. The software developer does not have to know how blockchain works or be involved in running a node. The Logware API abstracts and hides all those complex layers while presenting a truly permanent platform for storing data. How is it permanent? Logware stores data directly on its public blockchain (Lynx). There are no referential pointers, no ‘off chain’ drive farms.

Logware stores data directly with the money.

Moreover, because the integrity of the cryptography which tracks the money is sound, the same can be said for the data stored. Once data is stored and confirmed on the Lynx blockchain, it is genuinely 100% permanent. Generations later, the data can be retrieved without risk of loss, all the while without maintaining complex incentive programs to drive farmers.

Logware competes in the data storage marketplace by focusing on a very select customer profile. Logware is very good at storing lots of critical, small-sized data payloads. For customers looking to store large files like movies and music, the platforms like Storj and Chia might be better candidates. Logware offers storage of 3 payload sizes; cryptographic hashes, payloads that are 2 kilobytes or less, and payloads that are up to 500 kilobytes in size. Logware is a very specialized data solution for business customers looking to store lots of small payloads.

An expansive array of use cases exist. Logware has customers who store raw Internet of Things sensor data. Logware stores SSH key data for technology customers who need a 3rd party, off-site data storage layer for user authentication data. Logware can store proof of COVID vaccination, incapable of being lost, replicated, or forged. Manufacturers can use Logware to thwart counterfeiters. Logware can store NTFs, with zero risks of loss! Other blockchain projects use Logware to store data way cheaper than they can on their own. A significant advantage: Logware customers pay only once to store data and can forever access it for free. Compared to traditional data storage models of paying monthly to maintain access to a dataset (that might deteriorate), this is a unique technology for generational data storage.

Logware makes B2B data storage easy for developers. Lynx makes data storage inexpensive and permanent. Both Lynx and Logware are built and maintained by the same team ensuring stability.",,Other,"data storage, crypto, NFT, covid"
